countryiso3,date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
IDN,2026-01-15,PAPUA,NABIRE,Pasar Kalibobo,10788,-3.37,135.49,cereals and tubers,Rice (medium quality),753,KG,actual,Retail,IDR,19000.0,1.12
IDN,2026-01-15,JAWA TIMUR,KOTA MADIUN,Pasar Besar (Kota Madiun),2904,-7.63,111.52,meat fish and eggs,Meat (beef first quality),187,KG,actual,Retail,IDR,120000.0,7.1
IDN,2026-01-15,SUMATERA BARAT,KOTA BUKITTINGGI,Pasar Bawah,3008,-0.3,100.37,vegetables and fruits,Garlic (medium),751,KG,actual,Retail,IDR,35500.0,2.1
IDN,2026-01-15,PAPUA,NABIRE,Pasar Karang Tumaritis,10789,-3.38,135.5,oil and fats,Oil (vegetable),96,KG,actual,Retail,IDR,25000.0,1.48
LAO,2026-01-15,Attapeu,Samakkhixay,Attapeu,1646,14.82,106.82,meat fish and eggs,Meat (chicken),94,KG,actual,Retail,LAK,78600.0,3.64
LAO,2026-01-15,Champasack,Pakse,Daoheuang,669,15.14,105.8,meat fish and eggs,Meat (buffalo second quality),190,KG,actual,Retail,LAK,135000.0,6.24
LAO,2026-01-15,Champasack,Pakse,Daoheuang,669,15.14,105.8,cereals and tubers,Rice (glutinous second quality),195,KG,actual,Retail,LAK,15000.0,0.69
LAO,2026-02-15,Salavan,Saravane,Saravane,1569,15.7,106.43,cereals and tubers,Rice (glutinous unmilled),196,KG,actual,Retail,LAK,5400.0,0.25
MMR,2026-01-15,Shan (South),Taunggyi,Taunggyi,1019,20.78,97.03,vegetables and fruits,Onions (local),324,KG,actual,Retail,MMK,3060.0,1.46
MMR,2026-03-15,Shan (South),Taunggyi,Hsee Bu,11035,19.49,96.82,pulses and nuts,Pulses,163,KG,actual,Retail,MMK,4896.0,2.34
MMR,2026-02-15,Kachin,Bhamo,Man Wein Gyi,3304,23.83,97.59,cereals and tubers,Rice (low quality),145,KG,actual,Retail,MMK,2115.0,1.01
MMR,2026-02-15,Mandalay,Mandalay,YaeNiMyaung,6087,21.96,96.1,vegetables and fruits,Tomatoes (local),346,KG,actual,Retail,MMK,1836.0,0.88
PHL,2026-01-15,Region III,Zambales,Zambales,4278,15.34,119.97,meat fish and eggs,Anchovies,711,KG,actual,Retail,PHP,173.33,2.91
PHL,2026-01-15,Region III,Bulacan,Bulacan,4275,14.84,120.81,meat fish and eggs,Fish (frigate tuna),865,KG,actual,Retail,PHP,311.25,5.23
PHL,2026-01-15,Region IV-A,Laguna,Laguna,4280,14.29,121.41,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,PHP,162.5,2.73
PHL,2026-02-15,Region VIII,Leyte,Leyte,4301,11.25,125.0,meat fish and eggs,Meat (pork with bones),856,KG,actual,Retail,PHP,266.75,4.6
TLS,2026-03-15,Bobonaro,Maliana,Bobonaro,1366,-8.99,125.22,pulses and nuts,Beans (kidney),180,KG,actual,Retail,USD,1.51,1.51
TLS,2026-03-15,Bobonaro,Maliana,Bobonaro,1366,-8.99,125.22,cereals and tubers,Taro,598,KG,actual,Retail,USD,1.02,1.02
TLS,2026-03-15,Oecussi,Pante Macasar,SAR-Oecusse,4156,-9.2,124.35,cereals and tubers,Rice (white imported),400,KG,actual,Retail,USD,0.51,0.51
ECU,2026-03-15,Guayas,Guayaquil,Guayaquil,2582,-2.2,-79.9,pulses and nuts,Peas,610,KG,actual,Retail,USD,4.6,4.6
